proposal_id,queue_id,sample_id,candidate_unit_index,candidate_unit_text,include_as_evidence,surface_topic_proposed,mechanism_label_proposed,evidence_phrase_proposed,proposal_confidence,needs_human_review,proposal_reason,proposer_type,proposal_status
AP_0042,BQ_0042,BILI_0013,19,最后，凭什么重伤装备就这4件,uncertain,balance,fairness_threat,最后，凭什么重伤装备就这4件,low,true,命中「凭什么」但文本较短，存疑,rule_based_baseline,rule_based_proposed_unreviewed
AP_0043,BQ_0043,BILI_0013,20,你设计师不是喜欢搞镜像产物吗,uncertain,communication_transparency,trust_communication_gap,你设计师不是喜欢搞镜像产,low,true,命中「设计师」但文本较短，存疑,rule_based_baseline,rule_based_proposed_unreviewed
AP_0044,BQ_0044,BILI_0013,21,怎么有物理版本反甲，却没有魔抗版本反甲,yes,balance,competence_frustration,本反甲，却没有魔抗版本反甲,medium,true,命中机制关键信号「抗」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0045,BQ_0045,BILI_0013,22,恶心坦克玩家吗,no,,,,low,true,过短且无明确机制指向，视为语气/连接片段,rule_based_baseline,rule_based_proposed_unreviewed
AP_0046,BQ_0046,BILI_0013,23,为什么没有带穿甲的重伤装备,uncertain,balance,competence_frustration,什么没有带穿甲的重伤装备,low,true,命中「重伤」但文本较短，存疑,rule_based_baseline,rule_based_proposed_unreviewed
AP_0047,BQ_0047,BILI_0013,24,逼刺客玩家去选择链锯剑，恶心刺客玩家吗,uncertain,balance,uncertain,逼刺客玩家去选择链锯剑，恶心刺客玩家吗,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0048,BQ_0048,BILI_0013,25,为什么没有攻速流adc的重伤装备,yes,balance,competence_frustration,有攻速流adc的重伤装备,medium,true,命中机制关键信号「重伤」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0049,BQ_0049,BILI_0013,26,绿穿红穿都能设计两件，给攻速流英雄设计一件很难吗,uncertain,balance,uncertain,绿穿红穿都能设计两件，给攻速流英雄设计一,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0050,BQ_0050,BILI_0013,27,总结，队友不出重伤是设计师不想让玩家随意覆盖重伤，重伤就是设计师的跌麻，设计师看见自己跌麻被玩家把玩就急眼，仅此而已,yes,matchmaking,trust_communication_gap,，队友不出重伤是设计师不想让玩家随意覆,medium,true,命中机制关键信号「设计师」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0051,BQ_0051,BILI_0014,1,海克斯大乱斗看情况重伤该出就出，别等队友，对面血魔多也别考虑自己挂重伤效率高不高，海斗现在这环境大家伤害都高的一，后期团战很容易出现出重伤的辅助或者aoe法师不小心先被秒了，你ad自己不出重伤难道等着输吗,yes,matchmaking,belonging_drop,不高，海斗现在这环境大家伤害都高的一,medium,true,命中机制关键信号「环境」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0052,BQ_0052,BILI_0014,2,我见过太多自以为自己很c的后排玩家，把把抱着个红穿不撒手，被对面战士刺客大爹两刀剁死然后无能狂怒,uncertain,balance,uncertain,我见过太多自以为自己很c的后排玩家，把把,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0053,BQ_0053,BILI_0015,1,还不是那个设计师把重伤装备搞那么垃圾，鬼书抱着那b300生命值不放，炼金链锯那点属性和大面具坐一桌了，绿穿自从巨杀被改回来就失去竞争力了，反甲倒是老见坦克出，高额护甲可以无脑叠生命和魔抗了,yes,communication_transparency,trust_communication_gap,还不是那个设计师把重伤装备搞那么,medium,true,命中机制关键信号「设计师」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0054,BQ_0054,BILI_0016,1,这版本胡羁绊比上版本爽的多，四随机谁玩谁知道，20分钟四十层锻体，四叠四鞭炮也贼夸张,uncertain,balance,uncertain,这版本胡羁绊比上版本爽的多，四随机谁玩谁,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0055,BQ_0055,BILI_0016,2,缺点就是胡出来太强了，强到对面没有一点希望，二塔一掉就点了，爽不起来,uncertain,,uncertain,缺点就是胡出来太强了，强到对面没有一点希,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0056,BQ_0056,BILI_0016,3,我现在一胡就在想怎么控温，偶尔死一两波,uncertain,,uncertain,我现在一胡就在想怎么控温，偶尔死一两波,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0057,BQ_0057,BILI_0017,1,更新的一坨，之前海克斯好玩是因为合理的海克斯可以更好的发挥每个英雄的特性，让很多本来不适合大乱斗的英雄也能玩起来,uncertain,event_design,uncertain,更新的一坨，之前海克斯好玩是因为合理的海,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0058,BQ_0058,BILI_0017,2,现在则是海克斯+羁绊远大于英雄特性本身了，举个例子中东套，任何英雄拿个俯冲轰炸+大运都可以无脑雪球直接冲过去炸就完事,uncertain,balance,uncertain,现在则是海克斯+羁绊远大于英雄特性本身了,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0059,BQ_0059,BILI_0017,3,见面就是互秒，无聊的一比,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0060,BQ_0060,BILI_0018,1,其实我觉得一个游戏在大家都不会玩的时候才是最好玩的，因为当一个人自己和他人都会玩后往往都开始注重所谓提升技术，或则说执着于打出一些惊人操作，能意识到队友是猪的拉对面是小代的好而生气，以及各种因素，而海斗则是通过加入新机制，来一定程度上削弱了大部分玩家通过曾经的游戏经验带来的技术提升，并出现很多运气大于操作的游戏体验,uncertain,matchmaking,uncertain,其实我觉得一个游戏在大家都不会玩的时候才,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0061,BQ_0061,BILI_0018,2,从而给了不少人不错的体验吧，不用像排位那么执着输赢和技术，回归了开游戏就是想来把爽局,uncertain,matchmaking,uncertain,从而给了不少人不错的体验吧，不用像排位那,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0062,BQ_0062,BILI_0019,1,我遇到的几个新手，把把出狂徒心之钢当陀螺，然后把把说坐牢，没感觉他们有多爽,uncertain,new_player_onboarding,uncertain,我遇到的几个新手，把把出狂徒心之钢当陀螺,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0063,BQ_0063,BILI_0019,2,按照阵容出装虐对面不比被虐爽吗,uncertain,,uncertain,按照阵容出装虐对面不比被虐爽吗,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0064,BQ_0064,BILI_0020,1,我们阵容5个ad输出，对面两坨大肉，我一个韦鲁斯出ap就这样还有人点我纳什和黄昏呢，关键点我装备的人也不出重伤，还要我单挂一个800重伤剑，其他队友的看不下去了帮我说话，叫他别点了，韦鲁斯ap打肉更快,yes,matchmaking,competence_frustration,我们阵容5个ad输出，对面两坨大肉，,medium,true,命中机制关键信号「输出」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0065,BQ_0065,BILI_0021,1,提莫低等英雄，萨芬纯种高等英雄，w是丢子关键移速，e技能是高贵的穿兵线穿人控制，同类型的妮寇e短的离谱，光辉只能穿两，出了冰杖就是全游戏最高贵的丢子控制，cd也不算长，r在大乱斗地形也是随便放，纯纯的高等英雄，海克斯适配度也高，银色扇巴掌，家园卫士，法师通用类，金色cd，叠角龙系列全能完美消化，法师系都吃，棱彩法师系都吃，残忍裂隙这种拿到也是瞎几把乱杀，怎么玩怎么赢，队友没控制就e抽奖，队友有控制就e后放稳定控制链，总结就是高等丢子英雄,uncertain,matchmaking,uncertain,提莫低等英雄，萨芬纯种高等英雄，w是丢子,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0066,BQ_0066,BILI_0022,1,昨天玩一把海克斯大乱斗，我们前期被对面吊打，我方卡牌点了投降，我们4个人都没点，然后卡牌心态崩了就开始挂机，结果卡牌挂机以后，对面就打不过我们了，我们4打5把对面打的节节败退，最后赢了,yes,event_design,norm_safety_risk,牌心态崩了就开始挂机，结果卡牌挂机以,medium,true,命中机制关键信号「挂机」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0067,BQ_0067,BILI_0023,1,之前海克斯差点还能靠操作弥补一下，现在胡了是真的挡不住，甩个技能特效满天飞，经济高你大几千，也不是说要平衡，但是至少也要给用操作战胜运气的余地吧,uncertain,balance,uncertain,之前海克斯差点还能靠操作弥补一下，现在胡,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0068,BQ_0068,BILI_0024,1,玩了300多把海斗，印象中提莫没有正战绩过，不管对面还是己方，为什么我会记住提莫的战绩，之前有人提醒我这个英雄是吸队友血的，我就默默记住了,uncertain,matchmaking,uncertain,玩了300多把海斗，印象中提莫没有正战绩,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0069,BQ_0069,BILI_0025,1,这个通行证现在分循环任务和周常任务，周常是每周打3把无论输赢给600经验，循环是每两把给200经验,uncertain,rewards,uncertain,这个通行证现在分循环任务和周常任务，周常,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0070,BQ_0070,BILI_0025,2,通行证一共32级，150经验升一级，升满需要4800经验,uncertain,,uncertain,通行证一共32级，150经验升一级，升满,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0071,BQ_0071,BILI_0025,3,如果像我平时只打人机、打海斗只为了做做任务拿拿活动给的皮肤这样，每周只打三把做个周常的话，一周平均下来是900经验，就打五到六周差不多能打满的样子,uncertain,matchmaking,uncertain,如果像我平时只打人机、打海斗只为了做做任,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0072,BQ_0072,BILI_0025,4,我只会玩硬辅和法师，实战体验下来也就那样吧，该乐乐该坐牢坐牢，就是之前做赢一把的任务被elo做局了连跪10把让我很气,uncertain,rewards,uncertain,我只会玩硬辅和法师，实战体验下来也就那样,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0073,BQ_0073,BILI_0025,5,顺带一提今天虚空裂隙牛头让我顶爽了,uncertain,,uncertain,顺带一提今天虚空裂隙牛头让我顶爽了,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0074,BQ_0074,BILI_0026,1,开局领先一个锻造器价值750金币再领先300这就领先一千经济了,uncertain,,uncertain,开局领先一个锻造器价值750金币再领先3,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0075,BQ_0075,BILI_0026,2,后面还有自选的金变彩，还不是质变的随机彩，还有三个强化合剂,uncertain,,uncertain,后面还有自选的金变彩，还不是质变的随机彩,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0076,BQ_0076,BILI_0026,3,有等级跟没等级强度差距不是一点半点，没等级的人就是没体验被暴揍然后退游，加大新玩家入坑的门槛，到时候就剩一群结晶玩家在玩,yes,progression,fairness_threat,游，加大新玩家入坑的门槛，到时候就,medium,true,命中机制关键信号「坑」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0077,BQ_0077,BILI_0027,1,一、bug多 二、伤害溢出，节奏快，坦克没有生存空间 三、局外成长不平衡,uncertain,progression,uncertain,一、bug多 二、伤害溢出，节奏快，坦克,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0078,BQ_0078,BILI_0028,1,感觉现在伤害都太高了，不是你秒我就是我秒你，肉都扛不住，而且海克斯不胡队友死活不点，胡了不是对面点就是队友点,uncertain,matchmaking,uncertain,感觉现在伤害都太高了，不是你秒我就是我秒,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0079,BQ_0079,BILI_0029,1,现在版本我个人认为最大的问题就是：1,uncertain,balance,uncertain,现在版本我个人认为最大的问题就是：1,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0080,BQ_0080,BILI_0029,2,局外养成影响局内游戏，这是MOBA游戏大忌,uncertain,progression,uncertain,局外养成影响局内游戏，这是MOBA游戏大,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0081,BQ_0081,BILI_0029,3,羁绊系统的崩坏，其实是调整弱符文的好工具，弱符文的羁绊就应该是0,uncertain,balance,uncertain,羁绊系统的崩坏，其实是调整弱符文的好工具,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0082,BQ_0082,BILI_0029,4,5=2的效果，强符文就是1+1=1的效果，比如你是选择拿一个单个效果的垃圾符文，赌强力的羁绊，还是选择保底，选择当个强力的符文，但是羁绊就很一般,yes,balance,competence_frustration,拿一个单个效果的垃圾符文，赌强力的羁,medium,true,命中机制关键信号「垃圾」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0083,BQ_0083,BILI_0029,5,这样对于单次没拿到强力符文的玩家，也是种补偿机制,uncertain,,uncertain,这样对于单次没拿到强力符文的玩家，也是种,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0084,BQ_0084,BILI_0029,6,经济系符文和羁绊的数值，经济的优势，是一种无法反制的优势，同时先发永远赢后发，其他符文你还有可能用操作，针对出装来反制，但是经济类不行，数值还要调整,yes,balance,fairness_threat,还有可能用操作，针对出装来反制，但是,medium,true,命中机制关键信号「针对」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
