excluded_id,source_kind,sample_id,platform_source,unit_text,exclusion_reason,recoverable,notes
BILI_0016_U01,bili_rule_based_proposal_uncertain,BILI_0016,Bili,这版本胡羁绊比上版本爽的多，四随机谁玩谁知道，20分钟四十层锻体，四叠四鞭炮也贼夸张,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0016_U02,bili_rule_based_proposal_uncertain,BILI_0016,Bili,缺点就是胡出来太强了，强到对面没有一点希望，二塔一掉就点了，爽不起来,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0016_U03,bili_rule_based_proposal_uncertain,BILI_0016,Bili,我现在一胡就在想怎么控温，偶尔死一两波,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0017_U01,bili_rule_based_proposal_uncertain,BILI_0017,Bili,更新的一坨，之前海克斯好玩是因为合理的海克斯可以更好的发挥每个英雄的特性，让很多本来不适合大乱斗的英雄也能玩起来,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0017_U02,bili_rule_based_proposal_uncertain,BILI_0017,Bili,现在则是海克斯+羁绊远大于英雄特性本身了，举个例子中东套，任何英雄拿个俯冲轰炸+大运都可以无脑雪球直接冲过去炸就完事,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
AP_0059,bili_rule_based_proposal,BILI_0017,Bili,见面就是互秒，无聊的一比,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
BILI_0018_U01,bili_rule_based_proposal_uncertain,BILI_0018,Bili,其实我觉得一个游戏在大家都不会玩的时候才是最好玩的，因为当一个人自己和他人都会玩后往往都开始注重所谓提升技术，或则说执着于打出一些惊人操作，能意识到队友是猪的拉对面是小代的好而生气，以及各种因素，而海斗则是通过加入新机制，来一定程度上削弱了大部分玩家通过曾经的游戏经验带来的技术提升，并出现很多运气大于操作的游戏体验,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0018_U02,bili_rule_based_proposal_uncertain,BILI_0018,Bili,从而给了不少人不错的体验吧，不用像排位那么执着输赢和技术，回归了开游戏就是想来把爽局,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0019_U01,bili_rule_based_proposal_uncertain,BILI_0019,Bili,我遇到的几个新手，把把出狂徒心之钢当陀螺，然后把把说坐牢，没感觉他们有多爽,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0019_U02,bili_rule_based_proposal_uncertain,BILI_0019,Bili,按照阵容出装虐对面不比被虐爽吗,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0021_U01,bili_rule_based_proposal_uncertain,BILI_0021,Bili,提莫低等英雄，萨芬纯种高等英雄，w是丢子关键移速，e技能是高贵的穿兵线穿人控制，同类型的妮寇e短的离谱，光辉只能穿两，出了冰杖就是全游戏最高贵的丢子控制，cd也不算长，r在大乱斗地形也是随便放，纯纯的高等英雄，海克斯适配度也高，银色扇巴掌，家园卫士，法师通用类，金色cd，叠角龙系列全能完美消化，法师系都吃，棱彩法师系都吃，残忍裂隙这种拿到也是瞎几把乱杀，怎么玩怎么赢，队友没控制就e抽奖，队友有控制就e后放稳定控制链，总结就是高等丢子英雄,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0023_U01,bili_rule_based_proposal_uncertain,BILI_0023,Bili,之前海克斯差点还能靠操作弥补一下，现在胡了是真的挡不住，甩个技能特效满天飞，经济高你大几千，也不是说要平衡，但是至少也要给用操作战胜运气的余地吧,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0024_U01,bili_rule_based_proposal_uncertain,BILI_0024,Bili,玩了300多把海斗，印象中提莫没有正战绩过，不管对面还是己方，为什么我会记住提莫的战绩，之前有人提醒我这个英雄是吸队友血的，我就默默记住了,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0025_U01,bili_rule_based_proposal_uncertain,BILI_0025,Bili,这个通行证现在分循环任务和周常任务，周常是每周打3把无论输赢给600经验，循环是每两把给200经验,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0025_U02,bili_rule_based_proposal_uncertain,BILI_0025,Bili,通行证一共32级，150经验升一级，升满需要4800经验,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0025_U03,bili_rule_based_proposal_uncertain,BILI_0025,Bili,如果像我平时只打人机、打海斗只为了做做任务拿拿活动给的皮肤这样，每周只打三把做个周常的话，一周平均下来是900经验，就打五到六周差不多能打满的样子,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0025_U04,bili_rule_based_proposal_uncertain,BILI_0025,Bili,我只会玩硬辅和法师，实战体验下来也就那样吧，该乐乐该坐牢坐牢，就是之前做赢一把的任务被elo做局了连跪10把让我很气,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0025_U05,bili_rule_based_proposal_uncertain,BILI_0025,Bili,顺带一提今天虚空裂隙牛头让我顶爽了,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0026_U01,bili_rule_based_proposal_uncertain,BILI_0026,Bili,开局领先一个锻造器价值750金币再领先300这就领先一千经济了,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0026_U02,bili_rule_based_proposal_uncertain,BILI_0026,Bili,后面还有自选的金变彩，还不是质变的随机彩，还有三个强化合剂,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0027_U01,bili_rule_based_proposal_uncertain,BILI_0027,Bili,一、bug多 二、伤害溢出，节奏快，坦克没有生存空间 三、局外成长不平衡,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0028_U01,bili_rule_based_proposal_uncertain,BILI_0028,Bili,感觉现在伤害都太高了，不是你秒我就是我秒你，肉都扛不住，而且海克斯不胡队友死活不点，胡了不是对面点就是队友点,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0029_U01,bili_rule_based_proposal_uncertain,BILI_0029,Bili,现在版本我个人认为最大的问题就是：1,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0029_U02,bili_rule_based_proposal_uncertain,BILI_0029,Bili,局外养成影响局内游戏，这是MOBA游戏大忌,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0029_U03,bili_rule_based_proposal_uncertain,BILI_0029,Bili,羁绊系统的崩坏，其实是调整弱符文的好工具，弱符文的羁绊就应该是0,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0029_U05,bili_rule_based_proposal_uncertain,BILI_0029,Bili,这样对于单次没拿到强力符文的玩家，也是种补偿机制,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0029_U07,bili_rule_based_proposal_uncertain,BILI_0029,Bili,还是经济类符文，过于强势且适用性广，挤占了其他符文的选择空间，整局游戏大家都在找经济类符文，海克斯大乱斗变成了极地乱斗极速版,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0029_U11,bili_rule_based_proposal_uncertain,BILI_0029,Bili,up说的总体上我是认可的，原本海克斯乱斗是比较平衡的，极少有天胡打不了的对局，大部分对局都是主要看思路和操作，如果对面坦克横行或者刺客横行，那大概率是因为你们阵容构成本来有问题，符文进一步放大了这个问题，下把开局的时候，你会下意识的补,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0030_U01,bili_rule_based_proposal_uncertain,BILI_0030,Bili,我这几天见到的最多的评价就是这把运气差了点/对面海克斯太糊了，你还知道我运气差呀,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0030_U02,bili_rule_based_proposal_uncertain,BILI_0030,Bili,我发的海克斯那都是人用的吗，坦克的给射手的射手都给法师的法师的给辅助的辅助的给坦克的,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0030_U03,bili_rule_based_proposal_uncertain,BILI_0030,Bili,羁绊都凑不起来，坦克连钢化你心是什么样子都不知道，我们莎弥拉从来就没亮过剑，对面莎弥拉把把都亮剑,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0031_U01,bili_rule_based_proposal_uncertain,BILI_0031,Bili,不知道你新版玩了多少把，我一开始也是和up一样的观点，接下来我说说深度游玩后我的想法吧，和你的有区别,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0031_U02,bili_rule_based_proposal_uncertain,BILI_0031,Bili,首先，我目前通行证24级，证明我游玩的次数还是比较多的,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0031_U03,bili_rule_based_proposal_uncertain,BILI_0031,Bili,新版海克斯随着各个羁绊，其实拓展了大乱斗的玩法，原来就是打团，推塔，现在很多时候变成各路神仙打架，其实有点像之前的斗魂，就是说多重羁绊让后期也有的玩内容,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
AP_0096,bili_rule_based_proposal,BILI_0031,Bili,整体给我的体验是优于更新前的,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
BILI_0031_U04,bili_rule_based_proposal_uncertain,BILI_0031,Bili,虽然我知道有各种不平衡，但是破题之法不是非要打赢的，总体来说还是可以各得其乐我只能说，战士坦克爽在后期锻体，前期坐牢，丢丢怪前期爽，后期坐牢,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0031_U05,bili_rule_based_proposal_uncertain,BILI_0031,Bili,其次讲一下局外养成，首先我表态，我也不太支持，但是也有让我惊喜的地方,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0031_U06,bili_rule_based_proposal_uncertain,BILI_0031,Bili,但是我发现游戏是根据玩家的通行证等级匹配的（当然不完全是，有这个因素），我没有初始金币，我的队友基本上也没有,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0031_U07,bili_rule_based_proposal_uncertain,BILI_0031,Bili,其次，通行证让这个游戏有了追求，肝是一方面，让你有了新的获得感和乐子，我觉得还可以，但是平衡性做的确实有待商榷,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0032_U02,bili_rule_based_proposal_uncertain,BILI_0032,Bili,上个版本即使遇到对面一两个天胡的，这边只要想赢还是可以通过沟通团队合作，抓对面失误，卡复活时间，强开打人数差等等用操作和一点运营思路翻盘,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0033_U01,bili_rule_based_proposal_uncertain,BILI_0033,Bili,海斗至少不会全是丢丢怪的天下，有时候玩普通大乱斗对面丢子多就是坐牢局，就算赢了也感觉很心累，海斗感觉至少有那一丝抽到好海克斯的希望,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0034_U01,bili_rule_based_proposal_uncertain,BILI_0034,Bili,海克斯大乱斗跟这个普通大乱斗不一样的点在于普通大乱斗英雄一抽完差不多知道结局了，海克斯大乱斗每次符文对每个英雄都可能带来质变，不确定性很多,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0035_U01,bili_rule_based_proposal_uncertain,BILI_0035,Bili,我感觉最大的问题就是 它是大乱斗 你想玩一个套路你甚至得先赌自己这一把有没有玩这个套路的资格 在此基础的恶性体验最上限是一随到自己既不会玩+不知道适用什么套路的英雄+天谴海克斯 对局十分熟练完全知道怎么玩+知道适用套路+天胡海克斯 就会导致对局完全没有任何体验 但凡依旧大乱斗地图但是改成英雄自选都比现在好 至少能保证在天谴海克斯的情况下自己至少能发挥英雄本身的实力来应对对面 而不是完全没有任何可用操作,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
AP_0107,bili_rule_based_proposal,BILI_0036,Bili,确实，对面来2个2500，搞个小蛋糕，我们这边没有，就没法打，装备碾压了，昨天我一个400护甲的老黑被对面菜刀队融了就离谱，雪球进去开w死了,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
BILI_0037_U02,bili_rule_based_proposal_uncertain,BILI_0037,Bili,人家死歌也不推，就一直在家放大，我复活20秒必死,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0037_U03,bili_rule_based_proposal_uncertain,BILI_0037,Bili,给我气的使劲喷这个炼金,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0039_U01,bili_rule_based_proposal_uncertain,BILI_0039,Bili,最近我是真感觉池子被污染了，谁家剑圣、瘸子池子里有尤里卡、神射这种法师海克斯，我打了好几场的瘸子，全给法师海克斯，碎片一堆法穿法强，一点穿甲攻击不给,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0040_U02,bili_rule_based_proposal_uncertain,BILI_0040,Bili,我还是觉得海斗步子迈大了，加速暴死，之前都是什么丢子王朝，坦克王朝，只有建议不玩什么，没说不好玩不够爽，现在出现两极分化了，一边说太爽太好玩了，一边说无论输赢对局太快，没爽就结束，拿不到好的符文投，没对面好的投，二塔没了投，为了局外奖励投，人头全被K战绩不好投,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0041_U01,bili_rule_based_proposal_uncertain,BILI_0041,Bili,测试服出羁绊的时候我就说了，原本挺好玩的出了羁绊看似选择更多其实选择更少了，因为固定强度的羁绊比随机搭配符文提升更大更稳定,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0041_U02,bili_rule_based_proposal_uncertain,BILI_0041,Bili,本来就是娱乐模式，大家都是玩创新科技的，你出了一个稳定提升能力的羁绊系统，胜负欲望强的肯定就是选不需要赌命的英雄，稳定羁绊类海克斯，每把都能遇到，就跟加强版峡谷一样，海克斯的精神丢失了，娱乐不起来,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0042_U01,bili_rule_based_proposal_uncertain,BILI_0042,Bili,过于娱乐化，导致大乱斗本身的竞技性没了，从为英雄定制海克斯变成为凑羁绊拿海克斯，阵容和英雄还有手法熟练度对对局的影响力下滑太多了，玩起来反而乏味,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0042_U02,bili_rule_based_proposal_uncertain,BILI_0042,Bili,看到对面神人拿到胡牌海克斯用猪鼻操作大杀四方，感觉像吃了坨谢特，玩回普通乱斗了,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0044_U01,bili_rule_based_proposal_uncertain,BILI_0044,Bili,作为娱乐模式，最重要的不应该是用海克斯强化增加新的玩法吗,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
AP_0122,bili_rule_based_proposal,BILI_0044,Bili,比如我玩盖伦，拿到一板一眼我可以考虑玩爆穿攻速流，拿到钢化你心玩肉之类的，怎么就非得做出来一堆数值羁绊数值海克斯呢,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
BILI_0044_U02,bili_rule_based_proposal_uncertain,BILI_0044,Bili,现在这一改完所有人无脑找经济羁绊和锻造器羁绊，这玩意到后面就是数值碾压你，玩起来恶心的一批,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0044_U03,bili_rule_based_proposal_uncertain,BILI_0044,Bili,那个俯冲轰炸羁绊和全自动羁绊不是设计的挺有想法吗,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
