evidence_id,sample_id,platform_source,unit_index,unit_text,surface_topic,mechanism_label,evidence_phrase,label_source,proposal_confidence,review_status,analysis_inclusion_status,legacy_evidence_id,queue_id,notes
NGA_0003_U07,NGA_0003,NGA,7,说到底喜欢丢子就是决定不了胜负的，要混还不如混到底。,other_uncertain,competence_frustration,决定不了胜负的,legacy_ai,medium,legacy_ai_label_unreviewed,included,3_u7,,legacy AI 标签未人工复核
NGA_0003_U08,NGA_0003,NGA,8,还有转型的，真闹麻了。,other_uncertain,uncertain,还有转型的，真闹麻了。,legacy_ai,low,legacy_ai_label_unreviewed,included,3_u8,,legacy AI 标签未人工复核
NGA_0003_U09,NGA_0003,NGA,9,一般对局也就四五件就结束了，还三件套转型。,other_uncertain,uncertain,一般对局也就四五件就结束了，还三件套转型。,legacy_ai,low,legacy_ai_label_unreviewed,included,3_u9,,legacy AI 标签未人工复核
NGA_0003_U10,NGA_0003,NGA,10,你从头出ad三件套差不多就该接管比赛了，三件套出完火炬面具穿透，再去补无尽攻速？,other_uncertain,uncertain,你从头出ad三件套差不多就该接管比赛了，三件套出完火炬面具穿透，再去补无尽攻速？,legacy_ai,low,legacy_ai_label_unreviewed,included,3_u10,,legacy AI 标签未人工复核
NGA_0003_U11,NGA_0003,NGA,11,出了法穿还能不能出大穿我也不知道，这问题太小众了。,other_uncertain,uncertain,这问题太小众了,legacy_ai,low,legacy_ai_label_unreviewed,included,3_u11,,legacy AI 标签未人工复核
NGA_0004_U01,NGA_0004,NGA,1,丢子就是学走位，练预判，找破绽，抓失误，需要考虑技能是清兵还是打人。,other_uncertain,competence_frustration,需要考虑技能是清兵还是打人,legacy_ai,medium,legacy_ai_label_unreviewed,included,4_u1,,legacy AI 标签未人工复核
NGA_0004_U02,NGA_0004,NGA,2,玩前排只管向前冲粘着后排抗伤害搅混水，稍微有点含金量的就是雪球命中，相比之下谁更无脑？,balance,competence_frustration,稍微有点含金量的就是雪球命中，相比之下谁更无脑？,legacy_ai,medium,legacy_ai_label_unreviewed,included,4_u2,,legacy AI 标签未人工复核
NGA_0004_U03,NGA_0004,NGA,3,我不否认前排的作用，但你说丢子无聊我只能说你不会玩丢子，你玩的丢子就只管CD好了就扔，打没打到人都无所谓，那确实很无聊。,other_uncertain,competence_frustration,你玩的丢子就只管CD好了就扔，打没打到人都无所谓，那确实很无聊。,legacy_ai,high,legacy_ai_label_unreviewed,included,4_u3,,legacy AI 标签未人工复核
NGA_0005_U01,NGA_0005,NGA,1,我没见过ap米利欧？真给你幽默完了你出ap我不看伤害看什么，要看功能性不会出辅助装？你出ap装一把六神下来多少cd？全部技能服务一个踢皮球，你什么绝活哥q技能这么好中？,balance,competence_frustration,你出ap我不看伤害看什么，要看功能性不会出辅助装？你出ap装一把六神下来多少cd？全部技能服务一个踢皮球，你什么绝活哥q技能这么好中？,legacy_ai,high,legacy_ai_label_unreviewed,included,5_u1,,legacy AI 标签未人工复核
NGA_0005_U02,NGA_0005,NGA,2,ad前期缩塔捡人头有什么问题？你倒是告诉我你怎么转型，卖装备不要钱？转型穿透你出法穿还是物穿？你把把红包雨？,other_uncertain,competence_frustration,你倒是告诉我你怎么转型，卖装备不要钱？转型穿透你出法穿还是物穿？,legacy_ai,high,legacy_ai_label_unreviewed,included,5_u2,,legacy AI 标签未人工复核
NGA_0005_U03,NGA_0005,NGA,3,卡莎我算你还有黄昏和纳什魔切，卢登完转三进化，老鼠混伤怎么做？,other_uncertain,uncertain,卡莎我算你还有黄昏和纳什魔切，卢登完转三进化，老鼠混伤怎么做？,legacy_ai,low,legacy_ai_label_unreviewed,included,5_u3,,legacy AI 标签未人工复核
NGA_0005_U04,NGA_0005,NGA,4,收收你的神通吧，真法师绝活哥估摸着在中路上分呢，大乱斗丢子还不混呢,other_uncertain,competence_frustration,收收你的神通吧，真法师绝活哥估摸着在中路上分呢，大乱斗丢子还不混呢,legacy_ai,medium,legacy_ai_label_unreviewed,included,5_u4,,legacy AI 标签未人工复核
NGA_0005_U05,NGA_0005,NGA,5,坦克能开团，刺客能秒c，全都为战士ad提供环境收割，你丢子能干嘛？摸奖，混输出，站的比谁都后面，看到团不过就开始往家里跑。,balance,competence_frustration,你丢子能干嘛？摸奖，混输出，站的比谁都后面，看到团不过就开始往家里跑。,legacy_ai,high,legacy_ai_label_unreviewed,included,5_u5,,legacy AI 标签未人工复核
NGA_0005_U06,NGA_0005,NGA,6,搞搞清楚，不是不喜欢丢子所以说丢子混，是丢子混所以不喜欢丢子。,other_uncertain,uncertain,丢子混所以不喜欢丢子,legacy_ai,low,legacy_ai_label_unreviewed,included,5_u6,,legacy AI 标签未人工复核
NGA_0005_U07,NGA_0005,NGA,7,你要是玩球女狐狸打团能控到对面ad一套带走，黄鸡维克托能收割战场，毛笔人火男团战技能爆炸伤害，这种我都不会说是丢子，开团盯着你开叫尊重。,other_uncertain,competence_frustration,这种我都不会说是丢子，开团盯着你开叫尊重,legacy_ai,medium,legacy_ai_label_unreviewed,included,5_u7,,legacy AI 标签未人工复核
NGA_0005_U08,NGA_0005,NGA,8,打个团只会站后面，闪现不是逃跑就是k头，技能只能打到上来冲你的前排还以为自己老有操作了，这叫丢子。,other_uncertain,competence_frustration,只会站后面，闪现不是逃跑就是k头，技能只能打到上来冲你的前排还以为自己老有操作了,legacy_ai,high,legacy_ai_label_unreviewed,included,5_u8,,legacy AI 标签未人工复核
NGA_0005_U09,NGA_0005,NGA,9,这种人就是我牛头一个二连起来直接接ctrl3给你敲丧钟,other_uncertain,uncertain,这种人就是我牛头一个二连起来直接接ctrl3给你敲丧钟,legacy_ai,low,legacy_ai_label_unreviewed,included,5_u9,,legacy AI 标签未人工复核
NGA_0006_U01,NGA_0006,NGA,1,丢子为什么现在自带贬义色彩，是因为玩这种东西的，就是体感畜的人多。,other_uncertain,belonging_drop,玩这种东西的，就是体感畜的人多,legacy_ai,medium,legacy_ai_label_unreviewed,included,6_u1,,legacy AI 标签未人工复核
NGA_0006_U02,NGA_0006,NGA,2,你可以喷我隐藏分低ICU大乱斗，但我个人看下来就是会有包括但不限于 老鼠卡莎女枪等不看阵容(全队唯一ad/对面大肉没人处理)依旧出ap 四五个大件死活不掏大法穿 残疫爱好者 选个软辅出卢登 以为能c不做冰杖重伤 喜欢玩拉克丝豹女 海克斯还喜欢选由心及物，没事出两件蓝量装搞不好再带个大天使 沟槽的wegame评分伤害低承伤低蹭局势死的少然后盗mvpsvp,balance,competence_frustration,你可以喷我隐藏分低ICU大乱斗，但我个人看下来就是会有包括但不限于 老鼠卡莎女枪等不看阵容(全队唯一ad/对面大肉没人处理)依旧出ap 四五个大件死活不掏大法穿 残疫爱好者 选个软辅出卢登 以为能c不做冰杖重伤 喜欢玩拉克丝豹女 海克斯还喜欢选由心及物，没事出两件蓝量装搞不好再带个大天使 沟槽的wegame评分伤害低承伤低蹭局势死的少然后盗mvpsvp,legacy_ai,high,legacy_ai_label_unreviewed,included,6_u2,,legacy AI 标签未人工复核
NGA_0006_U03,NGA_0006,NGA,3,你要真是法师糕手天天拿大核下能兜底打输出上能找机会秒ad开团，那也没必要把自己划进春绿丢子一类 玩个丢子还给自己优越起来了？,other_uncertain,competence_frustration,玩个丢子还给自己优越起来了？,legacy_ai,high,legacy_ai_label_unreviewed,included,6_u3,,legacy AI 标签未人工复核
NGA_0006_U04,NGA_0006,NGA,4,坦克要抓机会开团或者看阵容保后排反手，牺牲自己游戏体验来弥补团队短板提高团队胜率；战士刺客要看进场时机，什么时候该打一套拉开什么时候allin，操作要细不然伤害不一定够；adc更是被针对也是输出核心，就算被开指不定还能靠吸血拉扯继续输出。大家都在是在刀尖上操作的人，你丢子是个什么东西？,other_uncertain,competence_frustration,你丢子是个什么东西？,legacy_ai,high,legacy_ai_label_unreviewed,included,6_u4,,legacy AI 标签未人工复核
NGA_0006_U05,NGA_0006,NGA,5,预判中技能和走位躲技能也叫操作的话什么英雄不要操作？互丢局我还算你热血沸腾的对局，有前排的局不就是躲在前排后面丢对面？除了几个真能当英雄的法师，丢子就是前期上点压力，后期老实做功能性蹭局势。,balance,competence_frustration,预判中技能和走位躲技能也叫操作的话什么英雄不要操作？,legacy_ai,high,legacy_ai_label_unreviewed,included,6_u5,,legacy AI 标签未人工复核
NGA_0006_U06,NGA_0006,NGA,6,看你那发言，丢子清兵还要考虑？兵线进塔就是丢子不干事。玩的那几个英雄也就木木泰坦能开团，也都是假坦克出全肉也脆的要死。,other_uncertain,competence_frustration,丢子清兵还要考虑？兵线进塔就是丢子不干事。玩的那几个英雄也就木木泰坦能开团，也都是假坦克出全肉也脆的要死。,legacy_ai,high,legacy_ai_label_unreviewed,included,6_u6,,legacy AI 标签未人工复核
NGA_0006_U07,NGA_0006,NGA,7,你这种人我以前也碰到过两个，不看阵容只玩丢子，被冲脸杀了就说煞笔英雄纯靠数值一点操作都不需要，结果自己去玩轻装战士玩的像屎进去就死。,community_conflict,competence_frustration,玩的像屎进去就死,legacy_ai,high,legacy_ai_label_unreviewed,included,6_u7,,legacy AI 标签未人工复核
NGA_0006_U08,NGA_0006,NGA,8,膈应心之钢是对的，无脑心之钢就是蠢。但是亚索胜率第11,balance,competence_frustration,无脑心之钢就是蠢,legacy_ai,medium,legacy_ai_label_unreviewed,included,6_u8,,legacy AI 标签未人工复核
NGA_0007_U01,NGA_0007,NGA,1,大部分对局全是丢子在那隔着屏幕互相丢，不加入吧基本游戏体验还不如挂机，加入吧，又实在是觉得毫无交互体验，丢子能玩的海克斯太多了。,balance,competence_frustration,不加入吧基本游戏体验还不如挂机，加入吧，又实在是觉得毫无交互体验,legacy_ai,medium,legacy_ai_label_unreviewed,included,7_u1,,legacy AI 标签未人工复核
NGA_0007_U02,NGA_0007,NGA,2,我感觉很多丢子玩家对近战玩家的恶意来源于那些无脑钢，乱冲的近战导致游戏体验不好，但是前排尽职尽责挨打抗伤害的时候碰到那些瞎丢瞎玩的后排时又找谁说理去呢是吧。,community_conflict,fairness_threat,前排尽职尽责挨打抗伤害的时候碰到那些瞎丢瞎玩的后排时又找谁说理去呢是吧,legacy_ai,high,legacy_ai_label_unreviewed,included,7_u2,,legacy AI 标签未人工复核
NGA_0007_U03,NGA_0007,NGA,3,我想体验一下新龙女的肉搏能力，选了10把，只有1把对面有个曙光，其余全是法师ad刺客，真给我打得人麻了。,matchmaking,competence_frustration,真给我打得人麻了,legacy_ai,high,legacy_ai_label_unreviewed,included,7_u3,,legacy AI 标签未人工复核
NGA_0007_U04,NGA_0007,NGA,4,现在只有js能带来愉悦，如果再来个裁决使将会是绝杀。,other_uncertain,uncertain,现在只有js能带来愉悦，如果再来个裁决使将会是绝杀。,legacy_ai,low,legacy_ai_label_unreviewed,included,7_u4,,legacy AI 标签未人工复核
NGA_0008_U01,NGA_0008,NGA,1,现在怒气增长吃终极技能急速，残疫、钢壁甚至猎魔人都能增加怒气获取，但偏偏不吃技能急速，公理圆弧效果也不能直接涨一截怒气。,balance,fairness_threat,但偏偏不吃技能急速,legacy_ai,medium,legacy_ai_label_unreviewed,included,8_u1,,legacy AI 标签未人工复核
NGA_0008_U02,NGA_0008,NGA,2,不清楚会不会吃全凭身法，但应该会吃“终极唤醒”和“和我一起困在这里”加的终极技能急速。,other_uncertain,uncertain,不清楚会不会吃全凭身法,legacy_ai,low,legacy_ai_label_unreviewed,included,8_u2,,legacy AI 标签未人工复核
NGA_0008_U03,NGA_0008,NGA,3,但我觉得最胡的应该是三面包彩蛋了，直接250终极技能急速。,balance,uncertain,但我觉得最胡的应该是三面包彩蛋了，直接250终极技能急速。,legacy_ai,low,legacy_ai_label_unreviewed,included,8_u3,,legacy AI 标签未人工复核
NGA_0009_U01,NGA_0009,NGA,1,打了把挺胡的，但是问题是一波团打完，推不平对面的话，等对面复活是绝对没怒开大的，导致就是回合制，最后输掉游戏。,balance,competence_frustration,导致就是回合制，最后输掉游戏,legacy_ai,medium,legacy_ai_label_unreviewed,included,9_u1,,legacy AI 标签未人工复核
NGA_0009_U02,NGA_0009,NGA,2,讲道理我这把23分钟26w伤害已经很尽力了,other_uncertain,competence_frustration,已经很尽力了,legacy_ai,medium,legacy_ai_label_unreviewed,included,9_u2,,legacy AI 标签未人工复核
NGA_0010_U01,NGA_0010,NGA,1,打陀螺主Q，打丢子主E，火炬影焰法穿鞋公式三件，辣椒油或者坦克多补双烧，前排多再出峡谷游龙。,other_uncertain,uncertain,打陀螺主Q，打丢子主E，火炬影焰法穿鞋公式三件，辣椒油或者坦克多补双烧，前排多再出峡谷游龙,legacy_ai,low,legacy_ai_label_unreviewed,included,10_u1,,legacy AI 标签未人工复核
NGA_0010_U02,NGA_0010,NGA,2,池子太好了有点莉莉娅基础的很容易游龙，近可抽近战陀螺、远可恶心丢子，稍微来点熟练度就是没有缺点的AP，很难防莉莉娅进场。,balance,competence_frustration,很难防莉莉娅进场,legacy_ai,high,legacy_ai_label_unreviewed,included,10_u2,,legacy AI 标签未人工复核
NGA_0011_U01,NGA_0011,NGA,1,把不出鞋的毛病改了就行，前期有鞋没鞋就是遛狗和被遛的区别。,balance,competence_frustration,把不出鞋的毛病改了就行，前期有鞋没鞋就是遛狗和被遛的区别,legacy_ai,high,legacy_ai_label_unreviewed,included,11_u1,,legacy AI 标签未人工复核
NGA_0011_U02,NGA_0011,NGA,2,对面控少法穿鞋，控多魔抗鞋。,other_uncertain,uncertain,对面控少法穿鞋，控多魔抗鞋。,legacy_ai,low,legacy_ai_label_unreviewed,included,11_u2,,legacy AI 标签未人工复核
NGA_0011_U03,NGA_0011,NGA,3,比买大件省的钱拿去锻体就行。,other_uncertain,uncertain,比买大件省的钱拿去锻体就行,legacy_ai,low,legacy_ai_label_unreviewed,included,11_u3,,legacy AI 标签未人工复核
NGA_0011_U04,NGA_0011,NGA,4,经济一样的经济出一个大件和魔抗鞋+2次锻体差不多。,balance,uncertain,经济一样的经济出一个大件和魔抗鞋+2次锻体差不多,legacy_ai,low,legacy_ai_label_unreviewed,included,11_u4,,legacy AI 标签未人工复核
NGA_0011_U05,NGA_0011,NGA,5,莉莉娅池子比较干净是一方面，通用海克斯都能消化是另一优势。,other_uncertain,uncertain,莉莉娅池子比较干净是一方面，通用海克斯都能消化是另一优势,legacy_ai,low,legacy_ai_label_unreviewed,included,11_u5,,legacy AI 标签未人工复核
NGA_0011_U06,NGA_0011,NGA,6,平A短手不像狐狸一样一堆射手海克斯。,other_uncertain,competence_frustration,平A短手不像狐狸一样一堆射手海克斯,legacy_ai,medium,legacy_ai_label_unreviewed,included,11_u6,,legacy AI 标签未人工复核
NGA_0011_U07,NGA_0011,NGA,7,肉海克斯也有用。,other_uncertain,uncertain,肉海克斯也有用,legacy_ai,low,legacy_ai_label_unreviewed,included,11_u7,,legacy AI 标签未人工复核
NGA_0012_U01,NGA_0012,NGA,1,拿到一把蛇女虚空裂隙+吸血习性+冰寒，队友还有个炼金，团一打起来两大摊缚地给地上铺满，然后我q都懒得按eeeeeeee对面被虚空裂隙+冰寒减速走又走不动位移又交不出来，大招看哪里人多往哪按都不管能不能晕住把裂隙触发出来了就行。感觉往键盘上撒把米放只鸡来啄都能打赢,balance,competence_frustration,感觉往键盘上撒把米放只鸡来啄都能打赢,legacy_ai,medium,legacy_ai_label_unreviewed,included,12_u1,,legacy AI 标签未人工复核
NGA_0013_U01,NGA_0013,NGA,1,今天刚打一把，对面酸辣粉第一个裂隙把我们五个压着打,balance,competence_frustration,把我们五个压着打,legacy_ai,medium,legacy_ai_label_unreviewed,included,13_u1,,legacy AI 标签未人工复核
NGA_0013_U02,NGA_0013,NGA,2,抗压到第二个海克斯我们卡特也拿到了,other_uncertain,uncertain,抗压到第二个海克斯我们卡特也拿到了,legacy_ai,low,legacy_ai_label_unreviewed,included,13_u2,,legacy AI 标签未人工复核
NGA_0013_U03,NGA_0013,NGA,3,直接翻身做主人把对面平推了,other_uncertain,competence_frustration,直接翻身做主人把对面平推了,legacy_ai,medium,legacy_ai_label_unreviewed,included,13_u3,,legacy AI 标签未人工复核
NGA_0014_U01,NGA_0014,NGA,1,上次碰到一个奥恩，玩一整把玩到接近20分钟了大招一次二段羊都没撞到过(不是被打断，就是他自己二段撞不到)，,balance,competence_frustration,玩一整把玩到接近20分钟了大招一次二段羊都没撞到过,legacy_ai,high,legacy_ai_label_unreviewed,included,14_u1,,legacy AI 标签未人工复核
NGA_0014_U02,NGA_0014,NGA,2,我问了句：20分钟了还没学会放大？,other_uncertain,competence_frustration,20分钟了还没学会放大？,legacy_ai,high,legacy_ai_label_unreviewed,included,14_u2,,legacy AI 标签未人工复核
NGA_0014_U03,NGA_0014,NGA,3,他就说：你这么厉害你带我赢吧然后就挂机去泉水里跳舞了,other_uncertain,competence_frustration,你这么厉害你带我赢吧,legacy_ai,medium,legacy_ai_label_unreviewed,included,14_u3,,legacy AI 标签未人工复核
NGA_0015_U01,NGA_0015,NGA,1,有一把我们女警打团一点伤害都没有，点开tab看了一眼万瞄飓风的女警。,balance,competence_frustration,打团一点伤害都没有,legacy_ai,high,legacy_ai_label_unreviewed,included,15_u1,,legacy AI 标签未人工复核
NGA_0015_U02,NGA_0015,NGA,2,我公屏问了一句哥们你这装备有伤害吗，他就挂机骂我出装警察，娱乐模式还要指指点点，然后说自己无所谓输了就输了。,community_conflict,norm_safety_risk,娱乐模式还要指指点点,legacy_ai,medium,legacy_ai_label_unreviewed,included,15_u2,,legacy AI 标签未人工复核
NGA_0015_U03,NGA_0015,NGA,3,后面我们4打5推到对面水晶他来了一句为什么不投降，看可能要赢了又自己走出来打打团。,community_conflict,fairness_threat,后面我们4打5推到对面水晶他来了一句为什么不投降，看可能要赢了又自己走出来打打团,legacy_ai,medium,legacy_ai_label_unreviewed,included,15_u3,,legacy AI 标签未人工复核
NGA_0015_U04,NGA_0015,NGA,4,不清楚这种队友脑回路是什么样的，我也没教他出什么选什么海克斯也没言语骂他，如果这陈述事实也算骂人那我没得说了。,community_conflict,trust_communication_gap,不清楚这种队友脑回路是什么样的,legacy_ai,medium,legacy_ai_label_unreviewed,included,15_u4,,legacy AI 标签未人工复核
NGA_0015_U05,NGA_0015,NGA,5,虽然输了这把是真的爽，回归基本功巨杀缩小引擎的人马，对面还基本上是战士刺客，玩一把爽一年。,other_uncertain,competence_frustration,回归基本功巨杀缩小引擎的人马,legacy_ai,medium,legacy_ai_label_unreviewed,included,15_u5,,legacy AI 标签未人工复核
NGA_0016_U01,NGA_0016,NGA,1,常年单排路人补前排，都是号角眼泪出门。,matchmaking,fairness_threat,常年单排路人补前排,legacy_ai,medium,legacy_ai_label_unreviewed,included,16_u1,,legacy AI 标签未人工复核
NGA_0016_U02,NGA_0016,NGA,2,如果队友抽象就开钢自己玩自己的。,other_uncertain,trust_communication_gap,如果队友抽象就开钢自己玩自己的,legacy_ai,medium,legacy_ai_label_unreviewed,included,16_u2,,legacy AI 标签未人工复核
NGA_0016_U03,NGA_0016,NGA,3,如果队友靠谱就公式化败魔兰盾，这时候出完两件套对面c位大概率没做穿透，可以爽游龙五分钟。,balance,competence_frustration,如果队友靠谱就公式化败魔兰盾,legacy_ai,medium,legacy_ai_label_unreviewed,included,16_u3,,legacy AI 标签未人工复核
NGA_0016_U04,NGA_0016,NGA,4,如果对面是收集者ad，我喜欢直接裸个冰心看他打团发呆。,balance,competence_frustration,看他打团发呆,legacy_ai,medium,legacy_ai_label_unreviewed,included,16_u4,,legacy AI 标签未人工复核
NGA_0016_U05,NGA_0016,NGA,5,如果对面刺客多自己这边偏丢我都考虑做一件肉之后尽量早点做骑士保下c位。,balance,uncertain,如果对面刺客多自己这边偏丢我都考虑做一件肉之后尽量早点做骑士保下c位,legacy_ai,low,legacy_ai_label_unreviewed,included,16_u5,,legacy AI 标签未人工复核
NGA_0016_U06,NGA_0016,NGA,6,心之钢纯纯是自己摆烂才会出的装备。,balance,competence_frustration,纯纯是自己摆烂才会出的装备,legacy_ai,medium,legacy_ai_label_unreviewed,included,16_u6,,legacy AI 标签未人工复核
NGA_0017_U01,NGA_0017,NGA,1,火男看阵容，遇到丢子和刺客时挺拉的。,balance,competence_frustration,挺拉的,legacy_ai,medium,legacy_ai_label_unreviewed,included,17_u1,,legacy AI 标签未人工复核
NGA_0017_U02,NGA_0017,NGA,2,遇到坦克和笨b一点的战士就非常爽。,other_uncertain,competence_frustration,遇到坦克和笨b一点的战士就非常爽,legacy_ai,medium,legacy_ai_label_unreviewed,included,17_u2,,legacy AI 标签未人工复核
NGA_0017_U03,NGA_0017,NGA,3,我玩丢子的时候完全不怕火男，但是玩肉看到个火男就很烦,balance,competence_frustration,玩肉看到个火男就很烦,legacy_ai,medium,legacy_ai_label_unreviewed,included,17_u3,,legacy AI 标签未人工复核
NGA_0018_U01,NGA_0018,NGA,1,遥想当年还是神话版本，讯刃还是攻击力。,other_uncertain,uncertain,遥想当年还是神话版本，讯刃还是攻击力。,legacy_ai,low,legacy_ai_label_unreviewed,included,18_u1,,legacy AI 标签未人工复核
NGA_0018_U02,NGA_0018,NGA,2,我玩了一把野排卢仙，你想象一下，我的后面一个丁真一个娜美，我的前面一个布隆一个日女，纯纯人型自走炮。,other_uncertain,competence_frustration,纯纯人型自走炮,legacy_ai,medium,legacy_ai_label_unreviewed,included,18_u2,,legacy AI 标签未人工复核
NGA_0018_U03,NGA_0018,NGA,3,我清楚记得对面有个女枪，对面一开大，你懂那种布隆加盾火光四射，五人稳步前进的救赎感吗？,other_uncertain,uncertain,你懂那种布隆加盾火光四射，五人稳步前进的救赎感吗？,legacy_ai,low,legacy_ai_label_unreviewed,included,18_u3,,legacy AI 标签未人工复核
NGA_0018_U04,NGA_0018,NGA,4,那把我杀了52个 500攻击力饮血红药丁真娜美带个布隆被动的卢仙，现在想想都直流水,other_uncertain,competence_frustration,现在想想都直流水,legacy_ai,medium,legacy_ai_label_unreviewed,included,18_u4,,legacy AI 标签未人工复核
NGA_0019_U01,NGA_0019,NGA,1,说实话没啥用，加一起就比循环往复强一点。,other_uncertain,competence_frustration,没啥用，加一起就比循环往复强一点,legacy_ai,medium,legacy_ai_label_unreviewed,included,19_u1,,legacy AI 标签未人工复核
NGA_0019_U02,NGA_0019,NGA,2,考虑到还要分三次发给你，循环往复拿到直接就全技能60技能急速，我甚至觉得三个加一起不如循环往复。,other_uncertain,fairness_threat,我甚至觉得三个加一起不如循环往复,legacy_ai,medium,legacy_ai_label_unreviewed,included,19_u2,,legacy AI 标签未人工复核
NGA_0020_U01,NGA_0020,NGA,1,差不多吧，反正炽天使是换不掉，打的太后期了，带炽天使蓝也不够用,balance,competence_frustration,打的太后期了，带炽天使蓝也不够用,legacy_ai,medium,legacy_ai_label_unreviewed,included,20_u1,,legacy AI 标签未人工复核
NGA_0020_U02,NGA_0020,NGA,2,这把主要是掷骰羁绊来的早，锻体早，法穿cd啥的锻的多，对面也就一个特别肉，所以还能打动,other_uncertain,competence_frustration,这把主要是掷骰羁绊来的早，锻体早，法穿cd啥的锻的多，对面也就一个特别肉，所以还能打动,legacy_ai,medium,legacy_ai_label_unreviewed,included,20_u2,,legacy AI 标签未人工复核
NGA_0020_U03,NGA_0020,NGA,3,3个大肉局躺平吧，普通法师等死就可以了,balance,competence_frustration,普通法师等死就可以了,legacy_ai,medium,legacy_ai_label_unreviewed,included,20_u3,,legacy AI 标签未人工复核
