id,parent_id,unit_text,surface_topic,reason_short,mechanism_label,confidence,evidence_phrase,raw_text
5_u1,5,我没见过ap米利欧？真给你幽默完了你出ap我不看伤害看什么，要看功能性不会出辅助装？你出ap装一把六神下来多少cd？全部技能服务一个踢皮球，你什么绝活哥q技能这么好中？,balance,"The feedback criticizes the effectiveness and design of AP item builds for a champion, focusing on damage versus utility trade-offs.",competence_frustration,high,你出ap我不看伤害看什么，要看功能性不会出辅助装？你出ap装一把六神下来多少cd？全部技能服务一个踢皮球，你什么绝活哥q技能这么好中？,
5_u2,5,ad前期缩塔捡人头有什么问题？你倒是告诉我你怎么转型，卖装备不要钱？转型穿透你出法穿还是物穿？你把把红包雨？,other_uncertain,Feedback discusses game mechanics and strategy without clear alignment to specific allowed topics.,competence_frustration,high,你倒是告诉我你怎么转型，卖装备不要钱？转型穿透你出法穿还是物穿？,
5_u3,5,卡莎我算你还有黄昏和纳什魔切，卢登完转三进化，老鼠混伤怎么做？,other_uncertain,Feedback discusses specific character builds and strategies without clear connection to allowed topics.,uncertain,low,卡莎我算你还有黄昏和纳什魔切，卢登完转三进化，老鼠混伤怎么做？,
5_u4,5,收收你的神通吧，真法师绝活哥估摸着在中路上分呢，大乱斗丢子还不混呢,other_uncertain,The feedback contains ambiguous slang and unclear references to gameplay roles.,competence_frustration,medium,收收你的神通吧，真法师绝活哥估摸着在中路上分呢，大乱斗丢子还不混呢,
5_u5,5,坦克能开团，刺客能秒c，全都为战士ad提供环境收割，你丢子能干嘛？摸奖，混输出，站的比谁都后面，看到团不过就开始往家里跑。,balance,The feedback criticizes the comparative effectiveness and role of different character types in combat scenarios.,competence_frustration,high,你丢子能干嘛？摸奖，混输出，站的比谁都后面，看到团不过就开始往家里跑。,
5_u6,5,搞搞清楚，不是不喜欢丢子所以说丢子混，是丢子混所以不喜欢丢子。,other_uncertain,Feedback discusses character or gameplay preferences without clear alignment to specific allowed topics.,uncertain,low,丢子混所以不喜欢丢子,
5_u7,5,你要是玩球女狐狸打团能控到对面ad一套带走，黄鸡维克托能收割战场，毛笔人火男团战技能爆炸伤害，这种我都不会说是丢子，开团盯着你开叫尊重。,other_uncertain,The feedback discusses champion abilities and gameplay tactics without clearly fitting any specific allowed label.,competence_frustration,medium,这种我都不会说是丢子，开团盯着你开叫尊重,
5_u8,5,打个团只会站后面，闪现不是逃跑就是k头，技能只能打到上来冲你的前排还以为自己老有操作了，这叫丢子。,other_uncertain,Feedback criticizes player behavior in a team context without clear alignment to specific allowed labels.,competence_frustration,high,只会站后面，闪现不是逃跑就是k头，技能只能打到上来冲你的前排还以为自己老有操作了,
5_u9,5,这种人就是我牛头一个二连起来直接接ctrl3给你敲丧钟,other_uncertain,The feedback contains unclear game-specific terminology and lacks clear context for classification.,uncertain,low,这种人就是我牛头一个二连起来直接接ctrl3给你敲丧钟,
6_u1,6,丢子为什么现在自带贬义色彩，是因为玩这种东西的，就是体感畜的人多。,other_uncertain,The feedback discusses player behavior and perceptions but does not clearly align with any specific allowed topic.,belonging_drop,medium,玩这种东西的，就是体感畜的人多,
6_u2,6,你可以喷我隐藏分低ICU大乱斗，但我个人看下来就是会有包括但不限于 老鼠卡莎女枪等不看阵容(全队唯一ad/对面大肉没人处理)依旧出ap 四五个大件死活不掏大法穿 残疫爱好者 选个软辅出卢登 以为能c不做冰杖重伤 喜欢玩拉克丝豹女 海克斯还喜欢选由心及物，没事出两件蓝量装搞不好再带个大天使 沟槽的wegame评分伤害低承伤低蹭局势死的少然后盗mvpsvp,balance,Feedback criticizes perceived imbalances in champion/item choices and match outcomes in gameplay.,competence_frustration,high,你可以喷我隐藏分低ICU大乱斗，但我个人看下来就是会有包括但不限于 老鼠卡莎女枪等不看阵容(全队唯一ad/对面大肉没人处理)依旧出ap 四五个大件死活不掏大法穿 残疫爱好者 选个软辅出卢登 以为能c不做冰杖重伤 喜欢玩拉克丝豹女 海克斯还喜欢选由心及物，没事出两件蓝量装搞不好再带个大天使 沟槽的wegame评分伤害低承伤低蹭局势死的少然后盗mvpsvp,
6_u3,6,你要真是法师糕手天天拿大核下能兜底打输出上能找机会秒ad开团，那也没必要把自己划进春绿丢子一类 玩个丢子还给自己优越起来了？,other_uncertain,Feedback discusses player behavior and attitudes rather than specific game systems or features.,competence_frustration,high,玩个丢子还给自己优越起来了？,
6_u4,6,坦克要抓机会开团或者看阵容保后排反手，牺牲自己游戏体验来弥补团队短板提高团队胜率；战士刺客要看进场时机，什么时候该打一套拉开什么时候allin，操作要细不然伤害不一定够；adc更是被针对也是输出核心，就算被开指不定还能靠吸血拉扯继续输出。大家都在是在刀尖上操作的人，你丢子是个什么东西？,other_uncertain,Feedback discusses gameplay roles and mechanics without clearly matching any specific allowed label.,competence_frustration,high,你丢子是个什么东西？,
6_u5,6,预判中技能和走位躲技能也叫操作的话什么英雄不要操作？互丢局我还算你热血沸腾的对局，有前排的局不就是躲在前排后面丢对面？除了几个真能当英雄的法师，丢子就是前期上点压力，后期老实做功能性蹭局势。,balance,The feedback discusses hero mechanics and gameplay balance regarding skill usage and positioning.,competence_frustration,high,预判中技能和走位躲技能也叫操作的话什么英雄不要操作？,
6_u6,6,看你那发言，丢子清兵还要考虑？兵线进塔就是丢子不干事。玩的那几个英雄也就木木泰坦能开团，也都是假坦克出全肉也脆的要死。,other_uncertain,Feedback discusses gameplay criticism without clear alignment to specific allowed topics.,competence_frustration,high,丢子清兵还要考虑？兵线进塔就是丢子不干事。玩的那几个英雄也就木木泰坦能开团，也都是假坦克出全肉也脆的要死。,
6_u7,6,你这种人我以前也碰到过两个，不看阵容只玩丢子，被冲脸杀了就说煞笔英雄纯靠数值一点操作都不需要，结果自己去玩轻装战士玩的像屎进去就死。,community_conflict,The feedback describes player conflict over hero selection and performance criticism.,competence_frustration,high,玩的像屎进去就死,
6_u8,6,膈应心之钢是对的，无脑心之钢就是蠢。但是亚索胜率第11,balance,"The feedback discusses champion win rates and item effectiveness, which relates to game balance.",competence_frustration,medium,无脑心之钢就是蠢,
7_u1,7,大部分对局全是丢子在那隔着屏幕互相丢，不加入吧基本游戏体验还不如挂机，加入吧，又实在是觉得毫无交互体验，丢子能玩的海克斯太多了。,balance,Feedback criticizes gameplay imbalance where certain strategies dominate matches with minimal interaction.,competence_frustration,medium,不加入吧基本游戏体验还不如挂机，加入吧，又实在是觉得毫无交互体验,
7_u2,7,我感觉很多丢子玩家对近战玩家的恶意来源于那些无脑钢，乱冲的近战导致游戏体验不好，但是前排尽职尽责挨打抗伤害的时候碰到那些瞎丢瞎玩的后排时又找谁说理去呢是吧。,community_conflict,Feedback describes player conflicts between ranged and melee roles in team gameplay.,fairness_threat,high,前排尽职尽责挨打抗伤害的时候碰到那些瞎丢瞎玩的后排时又找谁说理去呢是吧,
7_u3,7,我想体验一下新龙女的肉搏能力，选了10把，只有1把对面有个曙光，其余全是法师ad刺客，真给我打得人麻了。,matchmaking,The player is frustrated with repeatedly facing specific champion types instead of desired matchups.,competence_frustration,high,真给我打得人麻了,
7_u4,7,现在只有js能带来愉悦，如果再来个裁决使将会是绝杀。,other_uncertain,The feedback mentions specific game elements (js and 裁决使) but doesn't clearly align with any allowed topic labels.,uncertain,low,现在只有js能带来愉悦，如果再来个裁决使将会是绝杀。,
8_u1,8,现在怒气增长吃终极技能急速，残疫、钢壁甚至猎魔人都能增加怒气获取，但偏偏不吃技能急速，公理圆弧效果也不能直接涨一截怒气。,balance,"Feedback discusses how different game mechanics affect rage generation, indicating balance concerns.",fairness_threat,medium,但偏偏不吃技能急速,
8_u2,8,不清楚会不会吃全凭身法，但应该会吃“终极唤醒”和“和我一起困在这里”加的终极技能急速。,other_uncertain,Feedback discusses unclear game mechanics without fitting clearly into defined categories.,uncertain,low,不清楚会不会吃全凭身法,
8_u3,8,但我觉得最胡的应该是三面包彩蛋了，直接250终极技能急速。,balance,The feedback discusses an overpowered game mechanic affecting character abilities.,uncertain,low,但我觉得最胡的应该是三面包彩蛋了，直接250终极技能急速。,
9_u1,9,打了把挺胡的，但是问题是一波团打完，推不平对面的话，等对面复活是绝对没怒开大的，导致就是回合制，最后输掉游戏。,balance,Feedback describes a gameplay imbalance where inability to push after team fights leads to predictable outcomes.,competence_frustration,medium,导致就是回合制，最后输掉游戏,
9_u2,9,讲道理我这把23分钟26w伤害已经很尽力了,other_uncertain,The feedback describes personal performance without clear connection to specific game systems.,competence_frustration,medium,已经很尽力了,
10_u1,10,打陀螺主Q，打丢子主E，火炬影焰法穿鞋公式三件，辣椒油或者坦克多补双烧，前排多再出峡谷游龙。,other_uncertain,Feedback contains game-specific terminology and item builds without clear context for classification.,uncertain,low,打陀螺主Q，打丢子主E，火炬影焰法穿鞋公式三件，辣椒油或者坦克多补双烧，前排多再出峡谷游龙,
10_u2,10,池子太好了有点莉莉娅基础的很容易游龙，近可抽近战陀螺、远可恶心丢子，稍微来点熟练度就是没有缺点的AP，很难防莉莉娅进场。,balance,The feedback discusses character strength and difficulty to counter in gameplay.,competence_frustration,high,很难防莉莉娅进场,
11_u1,11,把不出鞋的毛病改了就行，前期有鞋没鞋就是遛狗和被遛的区别。,balance,The feedback discusses the impact of item availability on early-game fairness and player experience.,competence_frustration,high,把不出鞋的毛病改了就行，前期有鞋没鞋就是遛狗和被遛的区别,
11_u2,11,对面控少法穿鞋，控多魔抗鞋。,other_uncertain,Feedback discusses in-game item choices without clear connection to allowed topics.,uncertain,low,对面控少法穿鞋，控多魔抗鞋。,
11_u3,11,比买大件省的钱拿去锻体就行。,other_uncertain,The feedback is ambiguous and does not clearly align with any specific allowed label.,uncertain,low,比买大件省的钱拿去锻体就行,
11_u4,11,经济一样的经济出一个大件和魔抗鞋+2次锻体差不多。,balance,The feedback compares the economic value of different item combinations.,uncertain,low,经济一样的经济出一个大件和魔抗鞋+2次锻体差不多,
11_u5,11,莉莉娅池子比较干净是一方面，通用海克斯都能消化是另一优势。,other_uncertain,The feedback discusses character pool and game mechanics without clearly fitting any specific allowed label.,uncertain,low,莉莉娅池子比较干净是一方面，通用海克斯都能消化是另一优势,
11_u6,11,平A短手不像狐狸一样一堆射手海克斯。,other_uncertain,The feedback uses game-specific jargon that doesn't clearly map to any allowed label.,competence_frustration,medium,平A短手不像狐狸一样一堆射手海克斯,
11_u7,11,肉海克斯也有用。,other_uncertain,The feedback text is ambiguous and does not clearly align with any specific allowed label.,uncertain,low,肉海克斯也有用,
12_u1,12,拿到一把蛇女虚空裂隙+吸血习性+冰寒，队友还有个炼金，团一打起来两大摊缚地给地上铺满，然后我q都懒得按eeeeeeee对面被虚空裂隙+冰寒减速走又走不动位移又交不出来，大招看哪里人多往哪按都不管能不能晕住把裂隙触发出来了就行。感觉往键盘上撒把米放只鸡来啄都能打赢,balance,Feedback describes overpowered character abilities and combos in team fights.,competence_frustration,medium,感觉往键盘上撒把米放只鸡来啄都能打赢,
13_u1,13,今天刚打一把，对面酸辣粉第一个裂隙把我们五个压着打,balance,Feedback describes a character dominating the match from the start.,competence_frustration,medium,把我们五个压着打,
13_u2,13,抗压到第二个海克斯我们卡特也拿到了,other_uncertain,The feedback mentions game mechanics but doesn't clearly align with any specific allowed label.,uncertain,low,抗压到第二个海克斯我们卡特也拿到了,
13_u3,13,直接翻身做主人把对面平推了,other_uncertain,The feedback describes gameplay outcome without clear connection to specific allowed topics.,competence_frustration,medium,直接翻身做主人把对面平推了,
14_u1,14,上次碰到一个奥恩，玩一整把玩到接近20分钟了大招一次二段羊都没撞到过(不是被打断，就是他自己二段撞不到)，,balance,Feedback describes a character's ability being ineffective in gameplay.,competence_frustration,high,玩一整把玩到接近20分钟了大招一次二段羊都没撞到过,
14_u2,14,我问了句：20分钟了还没学会放大？,other_uncertain,The feedback is ambiguous and does not clearly align with any specific allowed label.,competence_frustration,high,20分钟了还没学会放大？,
14_u3,14,他就说：你这么厉害你带我赢吧然后就挂机去泉水里跳舞了,other_uncertain,The feedback describes player behavior but doesn't clearly match any specific allowed topic.,competence_frustration,medium,你这么厉害你带我赢吧,
15_u1,15,有一把我们女警打团一点伤害都没有，点开tab看了一眼万瞄飓风的女警。,balance,The feedback discusses a character's perceived lack of damage output in team fights.,competence_frustration,high,打团一点伤害都没有,
15_u2,15,我公屏问了一句哥们你这装备有伤害吗，他就挂机骂我出装警察，娱乐模式还要指指点点，然后说自己无所谓输了就输了。,community_conflict,The feedback describes a player conflict involving insults and negative behavior in chat.,norm_safety_risk,medium,娱乐模式还要指指点点,
15_u3,15,后面我们4打5推到对面水晶他来了一句为什么不投降，看可能要赢了又自己走出来打打团。,community_conflict,The feedback describes a teammate's disruptive behavior during a match.,fairness_threat,medium,后面我们4打5推到对面水晶他来了一句为什么不投降，看可能要赢了又自己走出来打打团,
15_u4,15,不清楚这种队友脑回路是什么样的，我也没教他出什么选什么海克斯也没言语骂他，如果这陈述事实也算骂人那我没得说了。,community_conflict,Feedback describes a conflict with a teammate over in-game behavior and communication.,trust_communication_gap,medium,不清楚这种队友脑回路是什么样的,
15_u5,15,虽然输了这把是真的爽，回归基本功巨杀缩小引擎的人马，对面还基本上是战士刺客，玩一把爽一年。,other_uncertain,Feedback expresses enjoyment of gameplay but does not clearly align with any specific allowed topic.,competence_frustration,medium,回归基本功巨杀缩小引擎的人马,
16_u1,16,常年单排路人补前排，都是号角眼泪出门。,matchmaking,The feedback discusses solo queue experiences and team composition issues.,fairness_threat,medium,常年单排路人补前排,
16_u2,16,如果队友抽象就开钢自己玩自己的。,other_uncertain,The feedback discusses teammate behavior but doesn't clearly match any specific allowed topic.,trust_communication_gap,medium,如果队友抽象就开钢自己玩自己的,
16_u3,16,如果队友靠谱就公式化败魔兰盾，这时候出完两件套对面c位大概率没做穿透，可以爽游龙五分钟。,balance,"The feedback discusses item builds and their effectiveness against opponents, which relates to game balance.",competence_frustration,medium,如果队友靠谱就公式化败魔兰盾,
16_u4,16,如果对面是收集者ad，我喜欢直接裸个冰心看他打团发呆。,balance,"The feedback discusses countering a specific champion build with an item choice, which relates to game balance and strategy.",competence_frustration,medium,看他打团发呆,
16_u5,16,如果对面刺客多自己这边偏丢我都考虑做一件肉之后尽量早点做骑士保下c位。,balance,"The feedback discusses adjusting item builds to counter specific enemy team compositions, which relates to game balance.",uncertain,low,如果对面刺客多自己这边偏丢我都考虑做一件肉之后尽量早点做骑士保下c位,
16_u6,16,心之钢纯纯是自己摆烂才会出的装备。,balance,The feedback criticizes a specific game item as being poorly designed or overpowered.,competence_frustration,medium,纯纯是自己摆烂才会出的装备,
17_u1,17,火男看阵容，遇到丢子和刺客时挺拉的。,balance,The feedback discusses character performance against specific team compositions.,competence_frustration,medium,挺拉的,
17_u2,17,遇到坦克和笨b一点的战士就非常爽。,other_uncertain,The feedback describes a gameplay experience without clearly indicating a specific surface topic from the allowed labels.,competence_frustration,medium,遇到坦克和笨b一点的战士就非常爽,
17_u3,17,我玩丢子的时候完全不怕火男，但是玩肉看到个火男就很烦,balance,Feedback discusses perceived imbalance in character matchups.,competence_frustration,medium,玩肉看到个火男就很烦,
18_u1,18,遥想当年还是神话版本，讯刃还是攻击力。,other_uncertain,The feedback nostalgically references a past game version and item without clear connection to the allowed topics.,uncertain,low,遥想当年还是神话版本，讯刃还是攻击力。,
18_u2,18,我玩了一把野排卢仙，你想象一下，我的后面一个丁真一个娜美，我的前面一个布隆一个日女，纯纯人型自走炮。,other_uncertain,Feedback describes a gameplay scenario without clear connection to allowed topics.,competence_frustration,medium,纯纯人型自走炮,
18_u3,18,我清楚记得对面有个女枪，对面一开大，你懂那种布隆加盾火光四射，五人稳步前进的救赎感吗？,other_uncertain,The feedback describes a gameplay moment without clear connection to the allowed labels.,uncertain,low,你懂那种布隆加盾火光四射，五人稳步前进的救赎感吗？,
18_u4,18,那把我杀了52个 500攻击力饮血红药丁真娜美带个布隆被动的卢仙，现在想想都直流水,other_uncertain,Feedback describes a specific gameplay moment without clear connection to allowed topics.,competence_frustration,medium,现在想想都直流水,
19_u1,19,说实话没啥用，加一起就比循环往复强一点。,other_uncertain,The feedback is too vague to clearly identify a specific topic from the allowed labels.,competence_frustration,medium,没啥用，加一起就比循环往复强一点,
19_u2,19,考虑到还要分三次发给你，循环往复拿到直接就全技能60技能急速，我甚至觉得三个加一起不如循环往复。,other_uncertain,The feedback discusses skill acquisition mechanics but doesn't clearly match any specific allowed label.,fairness_threat,medium,我甚至觉得三个加一起不如循环往复,
20_u1,20,差不多吧，反正炽天使是换不掉，打的太后期了，带炽天使蓝也不够用,balance,The feedback discusses issues with a specific item's effectiveness and resource management in late-game scenarios.,competence_frustration,medium,打的太后期了，带炽天使蓝也不够用,
20_u2,20,这把主要是掷骰羁绊来的早，锻体早，法穿cd啥的锻的多，对面也就一个特别肉，所以还能打动,other_uncertain,Feedback describes specific gameplay mechanics without clear connection to allowed topics.,competence_frustration,medium,这把主要是掷骰羁绊来的早，锻体早，法穿cd啥的锻的多，对面也就一个特别肉，所以还能打动,
20_u3,20,3个大肉局躺平吧，普通法师等死就可以了,balance,The feedback describes a situation where certain characters or roles feel ineffective or disadvantaged in specific game scenarios.,competence_frustration,medium,普通法师等死就可以了,
20_u4,20,后面玩了把尤里卡+掷骰锻体的火男，对面狗熊蒙多+羊，毫无还手之力,balance,Feedback describes a specific character combination being overpowered against another.,competence_frustration,high,毫无还手之力,
21_u1,21,匹配机制就导致了一旦你连胜或者连败，要把你近期胜率“拉”回五十接下来就会反向连胜连败,matchmaking,The feedback discusses issues with the matchmaking system affecting win/loss streaks.,fairness_threat,medium,匹配机制就导致了一旦你连胜或者连败，要把你近期胜率“拉”回五十接下来就会反向连胜连败,
21_u2,21,说实话相当脑残,other_uncertain,The feedback is too vague to determine a specific topic from the allowed labels.,competence_frustration,medium,相当脑残,
22_u1,22,是的，尤其是单排的时候连胜多了就很容易遇到畜生，选个提莫也没有物转法第一个就出收集者，除了k头其他时间就像在四打五然后队友也不点，硬坐十几分钟牢体验拉满了。,matchmaking,Feedback describes unfair matchmaking experiences when winning streaks lead to problematic teammates.,fairness_threat,high,连胜多了就很容易遇到畜生，选个提莫也没有物转法第一个就出收集者，除了k头其他时间就像在四打五,
22_u2,22,如果匹配机制公平就应该把这种提莫和不爱点的人绑死在一起玩一辈子，互相抽象互相快乐,matchmaking,The feedback criticizes matchmaking fairness by suggesting players with certain behaviors should be permanently matched together.,fairness_threat,high,如果匹配机制公平就应该把这种提莫和不爱点的人绑死在一起玩一辈子,
23_u1,23,主要是你不知道会匹配到什么人和海克斯。,matchmaking,The feedback mentions uncertainty about who you will be matched with.,uncertain,low,主要是你不知道会匹配到什么人和海克斯,
23_u2,23,我之前一把开局掉线，连回来的时候队友两个天胡哥顶在二塔，两边一塔都掉了。,other_uncertain,Feedback describes a disconnection and game state issue not clearly matching specific allowed labels.,fairness_threat,medium,开局掉线，连回来的时候队友两个天胡哥顶在二塔，两边一塔都掉了,
23_u3,23,还有前几天一把，3分钟掉一塔，5分钟掉二塔，被人狂越塔杀，完全还不了手，结果对面发癫连送几波给我们反推赢了。,balance,The feedback describes an imbalanced match where one team dominated early but threw the game later.,competence_frustration,high,完全还不了手,
24_u1,24,但能一队五个人三个人乱出忍不了了。,matchmaking,"The feedback complains about teammates' behavior in a team of five, which relates to matchmaking quality.",fairness_threat,high,三个人乱出忍不了了,
24_u2,24,第一个干的是剑圣。在对面开局俩肉进游戏三腰带，自己选接二连三的情况下，第一件掏了个收集者。,other_uncertain,The feedback describes a specific gameplay scenario without clear connection to the allowed labels.,competence_frustration,medium,自己选接二连三的情况下，第一件掏了个收集者,
24_u3,24,第二个干的是冰女。你说残疫很关键我能理解，但你第二件出了个时光杖？,balance,The feedback questions a specific item build choice in gameplay.,competence_frustration,medium,你说残疫很关键我能理解，但你第二件出了个时光杖？,
24_u4,24,第三件金身是要防什么，对面这阵容需要你e进去开团吗？,other_uncertain,Feedback discusses in-game item usage and team strategy without clearly matching any allowed labels.,competence_frustration,medium,对面这阵容需要你e进去开团吗？,
24_u5,24,最后大虫子也干了。四下雪天能出全肉的啊，但凡黑屏的时候读读描述呢。,other_uncertain,The feedback contains unclear game-specific references that don't match any allowed labels.,uncertain,low,最后大虫子也干了。四下雪天能出全肉的啊，但凡黑屏的时候读读描述呢。,
24_u6,24,唯一的ap装是时光杖，怎么又是你，这是什么很超模的装备吗？,balance,The feedback criticizes an item's perceived overpowered state in the game.,fairness_threat,medium,怎么又是你，这是什么很超模的装备吗？,
25_u1,25,如果队友这种出装你还需要出警的话，那我可不可以说你魔抗做得太晚了，对面4个AP伤害+1个半肉AD，你前三件都不出个魔抗，狂徒优先级有那么高么？,other_uncertain,Feedback discusses in-game item choices and team coordination without clearly matching any specific allowed label.,competence_frustration,high,你前三件都不出个魔抗，狂徒优先级有那么高么？,
25_u2,25,你有多少机会能脱战？,other_uncertain,The feedback text is ambiguous and does not clearly align with any specific allowed label.,uncertain,low,你有多少机会能脱战？,
25_u3,25,你还怪大虫子出肉和冰女出时光沙漏，这俩如果不出点肉，你没血后撤谁上去拉仇恨抗伤害？,balance,Feedback discusses character build choices and tanking mechanics in combat.,competence_frustration,medium,你没血后撤谁上去拉仇恨抗伤害？,
26_u1,26,昨天有四把脑溢血，一把是被对面当猪杀了最后人头比是十几比六十多，队友就是不投。,matchmaking,The feedback describes an unbalanced match where one team dominated severely.,fairness_threat,medium,被对面当猪杀了最后人头比是十几比六十多,
26_u2,26,一把队友抢我五杀，四杀之后对面满血来我面前送给我，然后有个队友就过来给我抢了，我技能放完在慢慢a妖姬过来就是一套丝滑连招给我抢了，然后还亮个表情。,community_conflict,Feedback describes a teammate intentionally stealing a kill and taunting with an emote.,fairness_threat,high,队友抢我五杀,
26_u3,26,一把队友剑魔，出门打了几波团剑魔一个人头没捞到，然后来了句人头你们都拿你们发育起来你们c然后就在后面玩泥巴，不打架不挂机，就挂在后面吃经验吃血包，恶心死我了。,community_conflict,Feedback describes a teammate's disruptive behavior affecting gameplay experience.,fairness_threat,medium,人头你们都拿你们发育起来你们c,
